candidate_id,gold_class,gold_family_id,phrase_complete,proposition_consistent,stance,claim_supported,notes
cand:01c826f5cf452074,unknown,fam-20250514-r-1,false,true,affirmative,false,"background fact about a parasite, cut across a comma; one release text"
cand:01dfacf0b8c1605b,unknown,fam-20250129-r-1,false,false,affirmative,false,"names a chamber as a location, like the guide's house of representatives example"
cand:0348033ed74f4d8e,unknown,fam-20251029-d-1,false,true,affirmative,false,a parenthetical fragment; one release text across the supports
cand:04e6291eef3fe936,nomenclature,fam-20260415-d-1,true,true,affirmative,true,a government named for its head; four offices wrote their own statements on the same votes
cand:07530ac5f449a200,unknown,fam-20260420-d-1,false,true,affirmative,false,stops before harm; one joint letter quoting the same official
cand:07e8067681a73f84,unknown,fam-20251120-d-1,false,true,affirmative,false,opens on a preposition and ends on a modal; one shared release text
cand:08e8f2ca72e68005,unknown,fam-20250110-r-1,true,,affirmative,,message versus unknown; a condolence line carries no political position
cand:0c990b281575dcf1,unknown,fam-20260305-d-1,false,true,affirmative,false,ends on of; one quote reused
cand:0d88d9a43fa47c35,unknown,fam-20250429-d-1,true,true,affirmative,true,unknown versus message; the phrase names a period rather than stating a position
cand:1139d0aa8596e5c0,unknown,fam-20250422-d-1,false,true,affirmative,false,opens on of and closes on and; one shared release text
cand:1180c2c12a3cc898,nomenclature,fam-20250303-d-1,true,false,affirmative,false,a role title; the supports are six unrelated organizations
cand:122d598cf9e9a57f,message,fam-20260211-d-1,true,true,affirmative,false,a substantive characterization of the regime's conduct; one joint letter
cand:14959c2113a5b377,unknown,fam-20260429-d-1,true,true,affirmative,false,a bill threshold that states no position; one bill description across two offices
cand:17e06dd8a5a18052,unknown,fam-20260224-d-1,false,true,affirmative,true,the trailing possessive leaves it incomplete; six offices wrote their own statements on the same address
cand:1c59457f3befce62,unknown,fam-20250128-d-1,false,true,affirmative,false,relative-clause fragment; one shared talking-points text across the supports
cand:1c7e2e862829055f,unknown,fam-20250604-d-1,false,true,affirmative,false,"biographical versus unknown; a collective service claim in an argument, not one person's history"
cand:1e0198085f46e199,unknown,fam-20250507-r-1,false,false,affirmative,false,a gerund missing its complement; one support uses the string as a bill name instead
cand:1ede6c7629d5a486,unknown,fam-20260630-d-1,true,true,affirmative,true,message versus unknown; a duration that states no position on its own; six offices on the same ruling
cand:1f173c2de698a25b,message,fam-20260220-d-1,true,true,affirmative,false,message versus unknown; the phrase asserts a gap in law rather than naming a topic; one release text
cand:21a93be1e7a71f2b,unknown,fam-20250624-d-1,false,true,affirmative,false,unknown versus message; the trailing auxiliary leaves the phrase incomplete
cand:23aac5c0eafe5c19,procedural,fam-20250117-r-1,false,true,affirmative,false,procedural versus unknown; release framing for publishing a statement
cand:23c37e3a5ef62e6d,unknown,fam-20250108-r-1,false,true,affirmative,false,"unknown versus message; the fragment states no position, and the support is one quote reused"
cand:2403fe6805c09de9,message,fam-20260622-d-1,true,true,affirmative,true,characterizes housing conditions as a crisis; six offices assert it in their own statements
cand:2732032286459edd,unknown,fam-20260514-d-1,false,true,affirmative,false,opens on and and ends on only; one quote reused
cand:2f2912b88200ec57,message,fam-20251007-r-1,true,true,affirmative,true,a value asserted in four offices' own statements on the same anniversary
cand:2fa17dcae3f66bae,unknown,fam-20250325-d-1,false,true,affirmative,false,fragment ending on a possessive; the support is one joint letter
cand:30aa29db272053b3,unknown,fam-20260618-d-1,false,true,affirmative,false,ends on a possessive needing its noun; one release text
