candidate_id,gold_class,gold_family_id,phrase_complete,proposition_consistent,stance,claim_supported,notes
cand:480cf77f1081e8c1,message,delegation-call-trump-funding-chaos,true,true,affirmative,false,
cand:dc9be5de9c9a423f,biographical,overstepping-gavin-newsom,true,true,affirmative,false,
cand:be83fcef58da0761,message,birthright-citizenship-children,true,true,affirmative,true,
cand:1c59457f3befce62,message,help-states-and-localities,true,true,affirmative,false,
cand:daf1ef20b4c3c582,message,reaps-the-benefits,true,true,affirmative,false,
cand:e2b2d940d32f10ab,message,homeless-impact-dramatic-cut,true,true,affirmative,false,
cand:01dfacf0b8c1605b,procedural,floor-nonsense,false,false,mixed,false,
cand:9708b1b6f6026a27,message,rural-communities,true,true,affirmative,false,
cand:70e94f8d553c9b1c,message,nsf-as-facilitator,true,true,affirmative,false,
cand:f46dd20b25b446bb,message,permit-by-rule,true,false,affirmative,false,
cand:dac27a68be3d16bd,message,tps-holders-working,true,true,affirmative,false,
cand:c078b96e4fed0ab2,message,non-partisaon-watchdog-urge,true,true,affirmative,false,
cand:6b383d5cfd9e0059,biographical,dr-howard-biography,,,,,
cand:e6b3c95d2a78377a,message,farmers-starting-bueiness,true,true,affirmative,false,
cand:b148277f1e63cecf,message,microplastics-health-safety,,,,,
cand:33d7fc4489393141,procedural,david-kustoff-leading-companion-legislation,,,,,
cand:aeef11359829d7a2,message,scorching-criticism-hegseth,,,,,
cand:c5dd919b780d6c96,message,abruptly-cancelled-grants,,,,,
cand:5a490fb544135a05,procedural,roll-call,,,,,
cand:8e51257a43dd9f64,message,spending-package-recovery,,,,,
cand:b9ce50c87404b2d7,message,prescription-medication-affordability,,,,,
cand:7f486fab698c25d3,nomenclature,chief-of-naval,,,,,
cand:6df16f39ca714500,nomenclature,offshore-wind-related,,,,,
cand:59139b97c35607e3,nomenclature,eleanor-holmes-norton,,,,,
cand:ae54b66813703af0,nomenclature,house-transportation-committee,,,,,
cand:7129e55abc0db242,nomenclature,elon-musk-doge,,,,false,
cand:07e8067681a73f84,message,state-governments-could,,,,,
cand:de8913698557f172,procedural,text-link-included,,,,,
cand:be19cbb66af997e4,message,constructive-pathway,,,,,
cand:9a14217bcf68e160,message,world-said-thing,false,,,,
cand:122d598cf9e9a57f,message,regime-violent-suppression,,,,,
cand:9efb983ac26a3207,nomenclature,pete-named,,,,,
cand:17e06dd8a5a18052,message,ahead-trump,,,,,
cand:ef34a3359996a877,message,hyde-smith-push,,,,,
cand:6675e7969ae6490b,message,ally-terror-threat,false,,,false,
cand:5e964225afc63299,nomenclature,house-energy-menendez,,,,,
cand:a9e18a99391657ac,message,maryland-delegation-urge,,,,,
cand:d9e614903c379d31,message,disaster-appropriations-request,,,,,
cand:a599505ed3b2b464,message,upgrade-port-richmond,,,,,
cand:ea09d50c004cd16c,message,schumer-demands-trump,,,,,
cand:ac6692f6c718a9a0,message,bipartisan-pharmacists-fight,,,,,
cand:ed9d81208c1c8d2d,message,guilty-as-hell,,,,,
cand:68149a85a33781e3,message,companion-legislation,,,,,
cand:bc0b4225e29a82d0,message,ice-data,,,,,
cand:ad08f191091faf55,message,health-risks-unborn,,,,,
cand:cb52fbc68852cd85,message,children-in-jeopardy,,,,,
cand:959df03197477b12,message,household-essentials,,,,,
cand:79f80ae8328eba4d,message,born-in-iran,,,,,
cand:cded3e5df67f99ac,message,key-bridge,false,,,,
cand:cab128485f70159b,message,biomedical-research,,,,,
cand:9cd0ae46c674f8c2,message,protecting-military-families,,,,,
cand:35f608f5b6f4ab82,nomenclature,stop-insider-trading-act,,,,,
cand:3e5066f68f20ebcf,message,IUPAT,,,,,
cand:3c911b1aca8e22f4,message,seafood-industry,,,,,
cand:50f87a82c0dbc7c6,biographical,hospital-spokesman,,,,,
cand:51f63acae14f1568,message,corporate-monopolies,,,,,
cand:5cacd84b2f54f480,message,sufficient-funding,,,,,
cand:7e92251ec0f6d8d9,message,right-to-violence,,,,,
cand:592a6ad1db0651a7,message,biden-taxpayer-waste,,,,,
cand:57be9a76f6c41620,nomenclature,proud-to-vote,,,,,
cand:1c7e2e862829055f,message,afghans-served,,,,,
cand:9780403db6a84cbb,procedural,coons-lead-group,,,,,
cand:7ce4c5b3f55e33be,message,trump-fires-family-planning,,,,,
cand:802cc5584f87a238,message,rubio-charter,,,,,
cand:7d10eb9a68a74efb,message,essential-building-blocks,,,,,
cand:379d4a21c4953a9e,nomenclature,continuing-approp-act,,,,,
cand:ca5921d6be6b4fb5,message,important-legislkation,,,,,
cand:e786b8da87f6e839,message,1,,,,,
cand:fd6cbf88b53c42e6,message,2,,,,,
cand:ce33588600a694ad,message,ending-nato,,,,,
cand:acf1c78b104b4098,message,additional-10-percent,,,,,
cand:2f2912b88200ec57,message,right-to-exist,,,,,
cand:bf414a056bb39dff,message,estimated-to-lose,,,,,
cand:db0ed05a716dfd1a,message,underwood-statement,,,,,
cand:23aac5c0eafe5c19,procedural,chinese-communist-masters,,,,,
cand:32600e60cd585fd8,message,oversight-assurance,,,,,
cand:8d145f358c93121a,message,american-dream,,,,,
cand:3e2b734848eeeac9,message,insurrection-act,,,,,
cand:e274ec85fd222303,message,pillars,,,,,
cand:93494a2a3a7110e0,message,disruptions,,,,,
cand:df7e0e72d25f5b17,message,athletics,,,,,
cand:14959c2113a5b377,message,80-hours,,,,,
cand:7f98bdddec53672d,message,preventing-violence-against-women,,,,,
cand:39d3a8462445fd98,message,offshore-oil-gas-leases,,,,,
cand:d07055061d0b6387,message,vote-for-ukraine,,,,,
cand:3245509f2b13153a,message,barrett-delivers,,,,,
cand:f6461621a6d124b7,private,private-1,,,,,
cand:04e6291eef3fe936,message,netanyahu,,,,,
cand:f42308e72b2e908e,message,two-state,,,,,
cand:bbbff23380becf85,nomenclature,bicameral-legislation,,,,,
cand:d5e2952b30fda124,message,supporting-speaker,,,,,
cand:87cc749fbf4653d3,message,grand-canyon,,,,,
cand:23c37e3a5ef62e6d,message,federal-daylight,,,,,
cand:43ead2cf0b3cfe00,nomenclature,appropriations-bill,,,,,
cand:f0e460e2c249bec1,message,war-powers,,,,,
cand:5209cec35c2973ca,message,sudan-special-envoy,,,,,
cand:415e60cafca4d80b,message,shuttering-usaid,,,,,
